SI_NO,Title,HTTPS_Link,Link,Price,Stock
1,A Light in the Attic,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,a-light-in-the-attic_1000/index.html,51.77,In stock
2,Tipping the Velvet,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,tipping-the-velvet_999/index.html,53.74,In stock
3,Soumission,https://books.toscrape.com/catalogue/soumission_998/index.html,soumission_998/index.html,50.1,In stock
4,Sharp Objects,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,sharp-objects_997/index.html,47.82,In stock
5,Sapiens: A Brief History of Humankind,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,sapiens-a-brief-history-of-humankind_996/index.html,54.23,In stock
6,The Requiem Red,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,the-requiem-red_995/index.html,22.65,In stock
7,The Dirty Little Secrets of Getting Your Dream Job,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,33.34,In stock
8,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,17.93,In stock
9,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,22.6,In stock
10,The Black Maria,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,the-black-maria_991/index.html,52.15,In stock
11,"Starving Hearts (Triangular Trade Trilogy, #1)",https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,starving-hearts-triangular-trade-trilogy-1_990/index.html,13.99,In stock
12,Shakespeare's Sonnets,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,shakespeares-sonnets_989/index.html,20.66,In stock
13,Set Me Free,https://books.toscrape.com/catalogue/set-me-free_988/index.html,set-me-free_988/index.html,17.46,In stock
14,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,52.29,In stock
15,Rip it Up and Start Again,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,rip-it-up-and-start-again_986/index.html,35.02,In stock
16,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,57.25,In stock
17,Olio,https://books.toscrape.com/catalogue/olio_984/index.html,olio_984/index.html,23.88,In stock
18,Mesaerion: The Best Science Fiction Stories 1800-1849,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,37.59,In stock
19,Libertarianism for Beginners,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,libertarianism-for-beginners_982/index.html,51.33,In stock
20,It's Only the Himalayas,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,its-only-the-himalayas_981/index.html,45.17,In stock
21,In Her Wake,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,in-her-wake_980/index.html,12.84,In stock
22,How Music Works,https://books.toscrape.com/catalogue/how-music-works_979/index.html,how-music-works_979/index.html,37.32,In stock
23,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,30.52,In stock
24,Chase Me (Paris Nights #2),https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,chase-me-paris-nights-2_977/index.html,25.27,In stock
25,Black Dust,https://books.toscrape.com/catalogue/black-dust_976/index.html,black-dust_976/index.html,34.53,In stock
26,Birdsong: A Story in Pictures,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,birdsong-a-story-in-pictures_975/index.html,54.64,In stock
27,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,22.5,In stock
28,Aladdin and His Wonderful Lamp,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,aladdin-and-his-wonderful-lamp_973/index.html,53.13,In stock
29,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,40.3,In stock
30,Wall and Piece,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,wall-and-piece_971/index.html,44.18,In stock
31,The Four Agreements: A Practical Guide to Personal Freedom,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,17.66,In stock
32,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,31.05,In stock
33,The Elephant Tree,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,the-elephant-tree_968/index.html,23.82,In stock
34,The Bear and the Piano,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,the-bear-and-the-piano_967/index.html,36.89,In stock
35,Sophie's World,https://books.toscrape.com/catalogue/sophies-world_966/index.html,sophies-world_966/index.html,15.94,In stock
36,Penny Maybe,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,penny-maybe_965/index.html,33.29,In stock
37,Maude (1883-1993):She Grew Up with the country,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,maude-1883-1993she-grew-up-with-the-country_964/index.html,18.02,In stock
38,"In a Dark, Dark Wood",https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,in-a-dark-dark-wood_963/index.html,19.63,In stock
